transactionId,receiptNumber,grandTotal,transactionDate
4c6c7a43-0152-49c2-9649-c1c692f28340,REC-20260505-015608691,445.4,2026-05-05T01:56:08.691354
5b9c8d45-00f4-4533-a632-b703c88d4620,REC-20260527-103446831,33.85,2026-05-27T10:34:46.831201
a438ade7-e6ad-4e20-b269-351ac2927dd3,REC-20260524-104243099,378.77,2026-05-24T10:42:43.099505
61911646-941a-4449-b586-81836f3954a2,REC-20260516-033505803,366.28,2026-05-16T03:35:05.803063
9ce86699-59bc-41bc-ab7a-095e57161c0b,REC-20260529-034053682,708.09,2026-05-29T03:40:53.682565
8197a46c-99e1-4a99-be8e-4543b8b2ceee,REC-20260531-060718067,298.57,2026-05-31T06:07:18.067356
95fa4b5f-2c0f-4ad7-8d36-3609c5a020c6,REC-20260515-061812229,485.65,2026-05-15T06:18:12.229728
3c904370-0d06-4158-b5be-a0f380df7841,REC-20260512-164112015,143.96,2026-05-12T16:41:12.015104
616d8e44-9ba7-4959-b4c0-df11c46e34b4,REC-20260527-161305640,368.12,2026-05-27T16:13:05.640497
dae8ee0b-673e-45c1-88b1-70d9c1702be1,REC-20260518-161146072,706.73,2026-05-18T16:11:46.072474
9551b291-695c-435e-98b3-a7b1e79c4637,REC-20260526-001846201,13.13,2026-05-26T00:18:46.201478
0f9eb33e-aff0-4cc1-9567-95b6f79f0389,REC-20260528-224025284,204.98,2026-05-28T22:40:25.284542
da7e8462-ab40-4614-8219-1afb42c6bc4f,REC-20260528-125243729,340.56,2026-05-28T12:52:43.729307
06ebd217-6e95-4ff2-a41f-c0db4c77104c,REC-20260508-155217157,182.09,2026-05-08T15:52:17.157297
71ebce20-bf34-4603-a460-32d5cbf7f690,REC-20260529-035622841,427.53,2026-05-29T03:56:22.841846
b7089e50-90b9-4d79-b195-fb365bb54c57,REC-20260524-150424387,9.38,2026-05-24T15:04:24.387134
ab96d5f1-70d7-49c8-a78b-2ea756b0b768,REC-20260503-041812063,406.29,2026-05-03T04:18:12.063710
3331aa25-4626-46cc-840d-e4d6c4a63494,REC-20260505-215335490,477.17,2026-05-05T21:53:35.490672
ce9e89db-6047-4f21-a29c-09f72fb2f5b5,REC-20260506-020035048,303.69,2026-05-06T02:00:35.048268
e8929bcd-b82f-499e-b912-d10e1da09854,REC-20260508-093102384,535.9,2026-05-08T09:31:02.384431
c9fac416-8448-4195-8cc6-ec3a74719e38,REC-20260521-112017629,802.37,2026-05-21T11:20:17.629516
9fde17f7-748e-4ada-8ae2-45a4a75958da,REC-20260515-215845262,123.04,2026-05-15T21:58:45.262396
